alpha_target,prior_family_id,standoff_m,median_delay_days,median_far,median_tpr
0.001,M_conservative_mixture,15.0,6.4050604596672684,0.0012104706579448995,0.7341689579843598
0.001,M_conservative_mixture,25.0,6.798297301119975,0.00121662616646136,0.6877073589302644
0.001,M_conservative_mixture,40.0,7.80835658363886,0.001220792755766146,0.5706893081783921
0.001,M_conservative_mixture,60.0,9.285051647102286,0.0012220100466259344,0.3932178836484704
0.001,M_daya_bay_calibrated,15.0,5.473362249466772,0.001089527211950608,0.8136966756984478
0.001,M_daya_bay_calibrated,25.0,6.173050388083275,0.001088298916549671,0.760186504416945
0.001,M_daya_bay_calibrated,40.0,6.991731493020697,0.0010980436235077879,0.6746046946939226
0.001,M_daya_bay_calibrated,60.0,8.333761933804734,0.0010979368461844345,0.5218257344051946
0.001,M_huber,15.0,5.970552441438382,0.0011778608994714443,0.7743334321890711
0.001,M_huber,25.0,6.5158313945460495,0.0011687598876819992,0.7218700461653008
0.001,M_huber,40.0,7.40075908327028,0.0011676225951635813,0.6225156534251577
0.001,M_huber,60.0,9.020403237613294,0.001180835052811408,0.4223110736414752
0.001,M_mueller,15.0,6.007945602519172,0.0012006478471276488,0.7628366192636216
0.001,M_mueller,25.0,6.703810602249604,0.001201568210748355,0.7027136818781403
0.001,M_mueller,40.0,7.824997590074833,0.001196496881249466,0.574379894294959
0.001,M_mueller,60.0,8.988725864378168,0.0012007173116051716,0.41890422009938394
0.005,M_conservative_mixture,15.0,6.3293960296924485,0.006083445894701333,0.7397166970233245
0.005,M_conservative_mixture,25.0,6.9722251495946335,0.0060857564823287805,0.6635569973411707
0.005,M_conservative_mixture,40.0,8.001855067599136,0.006102988988389542,0.5546216014981624
0.005,M_conservative_mixture,60.0,9.111651309157256,0.00609784948131578,0.41804314802643205
0.005,M_daya_bay_calibrated,15.0,5.429893746120037,0.005499874308316626,0.8240957153925725
0.005,M_daya_bay_calibrated,25.0,5.917832055154532,0.005500308063333795,0.768673603913058
0.005,M_daya_bay_calibrated,40.0,6.939048509264902,0.0054824680746479995,0.6627556890123221
0.005,M_daya_bay_calibrated,60.0,8.300527240915452,0.005451014300179065,0.5088316114477678
0.005,M_huber,15.0,5.905544701901009,0.0058579343780372755,0.7736456012288159
0.005,M_huber,25.0,6.623127813007619,0.005883745251884136,0.7229172147541395
0.005,M_huber,40.0,7.6302411817888816,0.005849245524074745,0.5936757230236053
0.005,M_huber,60.0,9.03394386915577,0.005869297939506375,0.4138434062235944
0.005,M_mueller,15.0,6.208250638670687,0.0060004856921760715,0.7548989484147959
0.005,M_mueller,25.0,6.6849391831603935,0.005979721340515498,0.7072308214963439
0.005,M_mueller,40.0,7.734832498531264,0.005956750105169189,0.5827032155544167
0.005,M_mueller,60.0,9.036356755429939,0.006012283785793018,0.42605343102155924
0.01,M_conservative_mixture,15.0,6.0197975607274135,0.012193374561637133,0.7629379884098257
0.01,M_conservative_mixture,25.0,6.882058375117823,0.012180537631328234,0.6737281703813922
0.01,M_conservative_mixture,40.0,7.687505373968914,0.012187780836078025,0.5771479494652842
0.01,M_conservative_mixture,60.0,9.22213583320686,0.01215523717731114,0.38862292456043446
0.01,M_daya_bay_calibrated,15.0,5.342557014089892,0.010967884664067062,0.8223438334322533
0.01,M_daya_bay_calibrated,25.0,6.117071327890065,0.010961579722995368,0.7669790814651668
0.01,M_daya_bay_calibrated,40.0,7.01776088843289,0.010929867136641515,0.6604356511878189
0.01,M_daya_bay_calibrated,60.0,8.314013084778928,0.010987772695654367,0.5103968986398384
0.01,M_huber,15.0,5.975990458307018,0.011710509528047506,0.7778638134795622
0.01,M_huber,25.0,6.66844370306759,0.0118034930127033,0.7140943048419198
0.01,M_huber,40.0,7.486757929883289,0.011704338426151543,0.5995916279153342
0.01,M_huber,60.0,8.734013403708099,0.011791899543886946,0.45533733129664067
0.01,M_mueller,15.0,6.060250992781626,0.011899199851560599,0.7683565403679427
0.01,M_mueller,25.0,6.73641631474045,0.011923371482470912,0.7003175035611273
0.01,M_mueller,40.0,7.8040274284838285,0.011992766668804077,0.5762369191616574
0.01,M_mueller,60.0,8.996995508730997,0.012031225424939406,0.4211184713494305
